color,pos,ti,correct,rt,resp
red,right,-5,1,1600.2329999762,KeyZ
red,right,-4,1,666.65199997616,KeyZ
green,left,-3,1,757.42399996424,Slash
green,right,-2,1,466.27299997616,Slash
red,left,-1,1,435.26099997616,KeyZ
red,right,0,1,449.51399997616,KeyZ
green,right,1,1,621.55299996424,Slash
green,right,2,1,404.67299998808,Slash
green,right,3,1,366.678,Slash
red,left,4,1,483.74799995231,KeyZ
green,left,5,1,642.886,Slash
red,right,6,1,889.51,KeyZ
red,left,7,0,531.026,Slash
red,left,8,1,500.48299996424,KeyZ
green,left,9,1,665.70999996424,Slash
green,left,10,1,463.968,Slash
red,left,11,1,518.452,KeyZ
red,right,12,1,384.10999995231,KeyZ
red,left,13,1,334.13899996423,KeyZ
red,right,14,1,818.64199998808,KeyZ
red,right,15,1,369.68399997616,KeyZ
red,left,16,1,374.193,KeyZ
red,left,17,1,353.35299998808,KeyZ
red,left,18,1,1154.1119999642,KeyZ
green,left,19,1,480.5,Slash
green,left,20,1,358.44499995232,Slash
green,left,21,1,399.947,Slash
green,right,22,1,434.64099996423,Slash
red,right,23,1,449.43599997615,KeyZ
red,right,24,1,542.80199996424,KeyZ
green,right,25,1,395.96699997615,Slash
red,left,26,1,287.50499998807,KeyZ
red,right,27,1,376.44299996423,KeyZ
green,right,28,1,443.80199997616,Slash
green,right,29,1,320.90599996423,Slash
green,left,30,1,412.61599995232,Slash
green,right,31,1,359.27699998808,Slash
red,right,32,1,374.351,KeyZ
green,right,33,1,364.64299996424,Slash
green,left,34,1,385.92799998808,Slash
green,left,35,1,405.44899997616,Slash
red,right,36,1,411.92499996423,KeyZ
red,left,37,1,319.00099996424,KeyZ
green,right,38,1,424.86999998808,Slash
green,left,39,1,421.37799997616,Slash
